Código de barras;Código;Descrição;Categoria;Fornecedor;Marca;Preço de custo;Preço de venda;Estoque;Estoque mínimo;Unidade;Data de cadastro
7898442109077;200329;ABA ASA TANQUE CARGO 160 2022 BRANCO ( PAR );Peças SIC;LECO MOTOS;PLASMOTO;134;187;0;2;UN;30/05/2025 12:19:59
2000000005218;9700006;ABA ASA TANQUE FAN 160 2019 CINZA METAL ( PAR );Peças SIC;COMPANI GENERAL;SPORTIVE;116,96;187,9;1.0;2;UN;2025-07-04 11:45:38
2000000007069;;ABA ASA TANQUE FAN 160 2024 PRETO ( PAR );Peças SIC;;;135;215;0;2;1;2025-05-08 17:16:06
7898469154982;7150019;ABA ASA TANQUE FAN 160 2024 PRETO FOSCO ( PAR );Peças SIC;MOTOSUPRI;SPORTIVE;85;136,9;1.0;2;PR1;29/04/2026 13:45:17
2000000005201;;ABA ASA TANQUE FAN 160 22/23 AZUL;Peças SIC;COMPANI GENERAL;SPORTIVE;121,48;170;0;2;UN;14/08/2024 09:43:57
7898442109688;200374;ABA ASA TANQUE TITAN 160 2023 PRETO ( PAR );Peças SIC;COMPANI GENERAL;PLASMOTO;135;189;0;2;UN;30/05/2025 12:17:53
7898443603178;8820011;ABA TANQUE FAZER 150 VERM 2022;Peças SIC;MOTOSUPRI;SPORTIVE;112,67;169,9;1.0;2;UN;23/02/2026 16:21:54
2905000018698;;ABA TANQUE FAZER 250 PRETA ( PAR );Peças SIC;LAMOTO;SHOPP DAS PEÇAS;195,5;312,8;0;2;UN;2025-04-11 08:55:30
2905000020899;;ABA TANQUE TITAN 150 MIX 2013/14 - PAR ( PRATO );Peças SIC;LAMOTO;LAMOTO;0;128,9;1.0;2;UN;2026-04-02 15:13:10
7898940974863;9670012;ABA TANQUE TITAN 160 2019/2019 - PAR ( VERM );Peças SIC;COMPANI GENERAL;SPORTIVE;888875;125;1.0;2;UN;2025-04-09 17:34:51
7898443608159;7150003;ABA TANQUE TITAN 160 2022/2023 PAR ( VERM );Peças SIC;WING GENERAL;SPORTIVE;72,84;1170029;1.0;2;UN;29/11/2025 11:51:54
981120;;ABA TANQUE TITAN 160 VERM 2019/21/ FAN 160 19/21;Peças SIC;COMPANI GENERAL;SPORTIVE;52,64;165;0;2;UN;13/10/2023 14:14:37
990383;;ACABAMENTO AROL FACTOR 150 2018 - PRETA - YAMAHA;Peças SIC;YAMAHA;YAMAHA;90;129;0;2;UN;30/08/2024 14:55:45
2000000003542;;ACENT VALVULA CBX 250 TWISTER  C/ RET ORIGINAL;Peças SIC;RETIFICA YAUHMOTOS;LAMOTO;195;390;0;2;;2024-04-09 17:12:19
2000000003559;;ACENT VALVULA CBX 300 C/ RET ORIGINAL;Peças SIC;LAMOTO;LAMOTO;220;390;0;2;UN;2024-04-09 17:14:01
2905000022008;;ACENT VALVULA CBX XRE 300;Peças SIC;LAMOTO;LAMOTO;220;290;0;2;UN;29/04/2026 12:08:12
2000000003535;;ACENT VALVULA CROSSER 150 C/ RET ORIG ( CADA );Peças SIC;LAMOTO;LAMOTO;20;85;1.0;2;UN;28/01/2025 11:58:49
2905000021759;;ACENT VALVULA FACTOR 125 ( CADA ) C/ RET ORIGINAL;Peças SIC;LAMOTO;LAMOTO;5;90;6.0;2;UN;2026-07-04 15:25:31
2000000000374;;ACENT VALVULA FAN 125 C/ RET ORIG ( CADA );Peças SIC;LAMOTO;HONDA;5;85;6.0;2;UN;2023-04-10 15:04:35
2000000007007;;ACENT VALVULA FAZER 150 ( CADA );Peças SIC;LAMOTO;VEDAMOTRS;15;90;10.0;2;UN;2025-04-08 14:38:40
2000000003566;;ACENT VALVULA FAZER 250 ( CADA ) RET VEDAMOTRS;Peças SIC;LAMOTO;VEDAMOTRS;10625;70;8.0;2;UN;27/11/2023 17:11:51
2000000004754;;ACENT VALVULA INTRUDER 125 C/ RET VEDAMOT ( CADA );Peças SIC;LAMOTO;VEDAMOTRS;7,5;70;8.0;2;UN;17/03/2025 08:40:29
2905000018971;;ACENT VALVULA LEAD 110  C/ RET ORIGINAL;Peças SIC;LAMOTO;LAMOTO;5;70;0;2;UN;2025-12-11 09:31:47
2905000021049;;ACENT VALVULA NX 400 FALCON C/ RET ORIGM ( CADA );Peças SIC;LAMOTO;LAMOTO;0;70;8.0;2;UN;18/02/2026 09:44:49
2000000007779;;ACENT VALVULA POP 110 C/ RET ORIG ( CADA );Peças SIC;LAMOTO;LAMOTO;5;70;4.0;2;UN;2025-04-09 15:23:24
2905000022442;;ACENT VALVULA SHINERAY SCOOTER 150;Peças SIC;LAMOTO;LAMOTO;0;85;8.0;2;UN;2026-12-06 18:42:43
2000000006246;;ACENT VALVULA SUZUKI YES C/ RET ORIG ( CADA );Peças SIC;LAMOTO;SUZUKI;10;85;6.0;2;UN;30/05/2025 19:05:01
2000000000381;;ACENT VALVULA TITAN 125 C/ RET ORIG ( CADA );Peças SIC;LAMOTO;LAMOTO;7,5;85;4.0;2;UN;2024-08-10 17:52:56
2000000003573;;ACENT VALVULA TITAN 150 C/ RET ORIG ( CADA );Peças SIC;LAMOTO;HONDA RIGINAL;5;85;0;2;UN;30/05/2023 19:50:45
2000000004846;;ACENT VALVULA TITAN 160 C/ RET ORIG ( CADA );Peças SIC;LAMOTO;LAMOTO;5;85;10.0;2;UN;19/03/2025 11:32:15
2000000007014;;ACENT VALVULA YBR 125 C/ RET ORIG;Peças SIC;LAMOTO;YAMAHA;5;85;9.0;2;UN;27/03/2024 08:42:07
7898442102689;;ACIONADOR TENSOR CBX 250 TWISTER / TORNADO;Peças SIC;COMPANI GENERAL;PLASMOTO;50,63;81,9;1.0;2;UN;21/08/2023 15:38:43
7898924047163;;ACIONADOR TENSOR CBX 250 TWISTER / TORNADO - WGK;Peças SIC;COMPANI GENERAL;WGK;56,91;91,9;1.0;2;UNI;2024-09-10 12:32:15
7899128883625;;ACIONADOR TENSOR CBX 250 TWISTER TORNADO  - RIFFEL;Peças SIC;MOTOSUPRI;RIFFEL;34,81;55,9;5.0;2;UN;13/04/2026 12:35:55
7898442101002;;ACIONADOR TENSOR CORR COM FAZER-TENE 250-XT225-TD;Peças SIC;COMPANI GENERAL;PLASMOTO;56,91;91,9;1.0;2;UN;2024-07-10 17:03:56
1250186;;ACIONADOR TENSOR CORRENTE COMANDO GP BURGMAN 125;Peças SIC;;GP;22;37;1.0;2;;2023-05-07 17:46:34
7898442100982;1001;ACIONADOR TENSOR FALCON / XR200/STRADA C/ CATRACA;Peças SIC;COMPANI GENERAL;PLASMOTO;50,99;79,9;2.0;2;UN;21/10/2025 08:05:21
917;,;ACIONADOR TENSOR FAZER 150 / CROSSER ORIGINAL;Peças SIC;PÇS PEREIRA USADAS;ORIGINAL YAMAHA;70;110;0;2;UN;17/01/2023 14:30:23
980954;;ACIONADOR TENSOR FAZER 250 / LANDER 250 - ORIG;Peças SIC;LAMOTO;YAMAHA / SEMI NOVO;0;120;0;2;UN;13/03/2023 17:04:54
2000000002675;;ACIONADOR TENSOR FAZER 250 / LANDER 250 - PLASM;Peças SIC;WING GENERAL;PLASMOTO;522075;89,9;0;2;UN;2023-09-03 09:02:37
2905000018902;;ACIONADOR TENSOR TITAN 150 / CB 300 -  S/NOVO;Peças SIC;LAMOTO;ORIGINAL;0;30;0;2;UN;2025-11-11 14:25:16
736916;736916;ACIONADOR TENSOR TITAN 150 / CB 300 - MAX;Peças SIC;COMPANI GENERAL;MAXX;13;42;0;2;UN;2023-01-07 08:53:42
7899128883618;M413;ACIONADOR TENSOR TITAN 150 / CB 300 - RIFFEL;Peças SIC;MOTOSUPRI;RIFFEL;34,99;55;4.0;2;UN;2025-04-11 11:40:57
7898924047187;;ACIONADOR TENSOR TITAN 150 / CB 300 - WGK;Peças SIC;LAMOTO;WGK;57;92;0;2;UN;19/05/2025 10:04:24
7898442100999;1002;ACIONADOR TENSOR TITAN 150/BROS 150/ CB 300;Peças SIC;COMPANI GENERAL;PLASMOTO;549937;96;1.0;2;UN;21/08/2023 15:40:04
2000000006352;;ADAPITAÇÃO CARBURADOR CB 450;Peças SIC;LAMOTO;LAMOTO;249;250;0;2;UN;2025-06-06 17:54:35
21926;;ADAPTADOR RETROV BURGMAN 125 M8 X 10 DIR;Peças SIC;WING GENERAL;KMARC;7965;13;6.0;2;UN;22/09/2023 14:52:36
13640;;ADAPTADOR RETROV M10 X M10 ROSCA DIR;Peças SIC;COMPANI GENERAL;AWA;7675;13;1.0;2;UN;13/05/2025 12:30:45
7898572843919;;ADAPTADOR RETROV M10 X M10 ROSCA ESQ;Peças SIC;COMPANI GENERAL;AWA;7,26;11;0;2;UN;13/05/2025 12:29:33
10101;;ADESIVO ABA HONDA;Peças SIC;;JAPONES;15;25;0;2;;20/05/2024 15:52:33
2000000004815;;ADESIVO ASINHA HONDA BRANCO UNIDADE;Peças SIC;LAMOTO;LAMOTO;1,5;3;6.0;2;UN;17/03/2025 14:11:23
2000000004808;;ADESIVO ASINHA HONDA CINZA UNIDADE;Peças SIC;LAMOTO;LAMOTO;1,5;3;8.0;2;UN;17/03/2025 14:10:50
2000000004792;;ADESIVO ASINHA HONDA PRETO UNIDADE;Peças SIC;LAMOTO;LAMOTO;1,5;3;3.0;2;UN;17/03/2025 14:06:29
261651;;ADESIVO DO TANQUE GRAVATA;Peças SIC;;SPEEDSTYLE;13,75;23;2.0;2;UN;19/04/2023 16:56:52
2000000004778;;ADESIVO FAIXA;Peças SIC;LAMOTO;LAMOTO;1,45;6;0;2;UN;17/03/2025 13:59:17
2000000004785;;ADESIVO FAIXA HOLOGRAFICO;Peças SIC;LAMOTO;LAMOTO;2,5;7;6.0;2;UN;17/03/2025 14:02:30
0;;ADESIVO HONDA;Peças SIC;;JAPONES;25;40;2.0;2;;20/05/2024 15:51:26
2000000004762;;ADESIVO HONDA FRONTAL;Peças SIC;LAMOTO;;0,8;4;45.0;2;UN;17/03/2025 13:55:48
980903;;ADESIVO HONDA P/ PAINEL;Peças SIC;LAMOTO;LAMOTO;2;3,5;41.0;2;UN;2023-07-01 10:11:56
